action,month,day,hour,count,sum,avg,std,step
CASH_OUT,1,2,4,1,4050,4050.0,0.0,28
PAYMENT,1,2,4,43,2166290,50378.83720930233,107707.68748173618,28
TRANSFER,1,2,4,34,682925,20086.029411764706,69774.33416921069,28
CASH_IN,1,2,5,1,25500,25500.0,0.0,29
CASH_OUT,1,2,5,1,15500,15500.0,0.0,29
PAYMENT,1,2,5,149,12369625,83017.61744966442,188318.18044919948,29
TRANSFER,1,2,5,237,14875180,62764.47257383966,185573.75934447692,29
CASH_IN,1,2,6,1,10500,10500.0,0.0,30
CASH_OUT,1,2,6,2,3735,1867.5,1672.3075375061849,30
PAYMENT,1,2,6,205,23377395,114036.0731707317,385518.16765774577,30
TRANSFER,1,2,6,264,18010915,68223.16287878787,185713.13034987534,30
CASH_IN,1,2,7,9,42565,4729.444444444444,5476.622159486427,31
CASH_OUT,1,2,7,4,92550,23137.5,21241.287429594908,31
PAYMENT,1,2,7,184,10133830,55075.163043478264,131457.50692948408,31
TRANSFER,1,2,7,273,17722695,64918.296703296706,249418.98474794324,31
CASH_IN,1,2,8,4,4130,1032.5,1430.7602873996748,32
CASH_OUT,1,2,8,4,34850,8712.5,10151.95999138426,32
PAYMENT,1,2,8,166,17360010,104578.3734939759,384724.546017339,32
TRANSFER,1,2,8,151,8999860,59601.72185430463,218573.6133419329,32
CASH_IN,1,2,9,4,142600,35650.0,59658.09528750757,33
CASH_OUT,1,2,9,10,95955,9595.5,11364.581052550948,33
DEBIT,1,2,9,8,1718795,214849.375,364219.8829635501,33
PAYMENT,1,2,9,313,47857375,152898.96166134186,550139.2505521097,33
TRANSFER,1,2,9,415,25813260,62200.6265060241,308250.2445898514,33
CASH_IN,1,2,10,6,61405,10234.166666666666,10964.907850349982,34
CASH_OUT,1,2,10,5,80700,16140.0,26113.033144389796,34
DEBIT,1,2,10,6,2816200,469366.6666666667,1022199.4148240678,34
PAYMENT,1,2,10,278,48384870,174046.29496402878,633390.4145770603,34
TRANSFER,1,2,10,421,33309005,79118.77672209026,215668.34787577033,34
CASH_IN,1,2,11,2,30050,15025.0,17642.31419060436,35
CASH_OUT,1,2,11,9,116785,12976.111111111111,15273.676656624333,35
DEBIT,1,2,11,13,12791000,983923.0769230769,1474326.6944348111,35
PAYMENT,1,2,11,279,36415165,130520.3046594982,572290.6881820225,35
TRANSFER,1,2,11,445,55845305,125495.06741573034,491773.22471113474,35
CASH_IN,1,2,12,5,8140,1628.0,1580.4137116590707,36
CASH_OUT,1,2,12,4,188100,47025.0,85427.06928524861,36
DEBIT,1,2,12,7,7138000,1019714.2857142857,1451889.5118988585,36
PAYMENT,1,2,12,260,23400865,90003.32692307692,344646.82105947024,36
TRANSFER,1,2,12,386,24225020,62759.11917098446,331415.428226998,36
CASH_IN,1,2,13,5,27600,5520.0,8411.420807449833,37
CASH_OUT,1,2,13,7,385050,55007.142857142855,119757.1452933374,37
DEBIT,1,2,13,11,9284200,844018.1818181818,1572562.1727411489,37
PAYMENT,1,2,13,346,39537355,114269.81213872832,470878.06071138266,37
TRANSFER,1,2,13,431,25912005,60120.66125290023,294787.5322396152,37
CASH_IN,1,2,14,3,48050,16016.666666666666,14532.750370571062,38
CASH_OUT,1,2,14,4,44600,11150.0,10104.701875859575,38
DEBIT,1,2,14,11,6208800,564436.3636363636,1474751.6953865336,38
PAYMENT,1,2,14,365,48377700,132541.64383561644,580345.4257677196,38
TRANSFER,1,2,14,455,32672170,71806.96703296703,323010.9840326778,38
CASH_IN,1,2,15,3,3105,1035.0,522.6614583073828,39
CASH_OUT,1,2,15,7,69105,9872.142857142857,14129.358282533232,39
DEBIT,1,2,15,10,23170500,2317050.0,2154296.04962838,39
PAYMENT,1,2,15,303,37994410,125394.09240924093,563192.0126946032,39
TRANSFER,1,2,15,369,23953110,64913.577235772354,313892.9229945372,39
CASH_IN,1,2,16,7,20350,2907.1428571428573,1951.8001458970664,40
CASH_OUT,1,2,16,6,110200,18366.666666666668,12543.6703825741,40
DEBIT,1,2,16,1,50500,50500.0,0.0,40
PAYMENT,1,2,16,225,7301735,32452.155555555557,145585.7102236937,40
TRANSFER,1,2,16,306,15082580,49289.47712418301,307363.69046343054,40
CASH_IN,1,2,17,8,47000,5875.0,3592.2535704325937,41
CASH_OUT,1,2,17,11,151455,13768.636363636364,11327.703670848097,41
PAYMENT,1,2,17,215,5968535,27760.627906976744,88267.40369389429,41
TRANSFER,1,2,17,300,4837930,16126.433333333332,37821.65009177198,41
CASH_IN,1,2,18,9,59620,6624.444444444444,8740.893276878387,42
CASH_OUT,1,2,18,8,82250,10281.25,11273.418086682621,42
PAYMENT,1,2,18,213,3014820,14154.084507042253,28734.32062984721,42
TRANSFER,1,2,18,284,6647675,23407.306338028167,117314.52874266813,42
CASH_IN,1,2,19,2,21550,10775.0,13753.226894078349,43
CASH_OUT,1,2,19,11,75350,6850.0,8539.994145197057,43
PAYMENT,1,2,19,204,2965895,14538.700980392157,33208.99589387799,43
TRANSFER,1,2,19,279,4793325,17180.37634408602,38969.22371654438,43
CASH_IN,1,2,20,5,10750,2150.0,1673.320053068151,44
CASH_OUT,1,2,20,7,40560,5794.285714285715,8083.157607319178,44
PAYMENT,1,2,20,212,2757775,13008.372641509433,21984.00008058007,44
TRANSFER,1,2,20,292,3095170,10599.897260273972,26209.54929113416,44
CASH_IN,1,2,21,9,31450,3494.4444444444443,2683.3333333333335,45
CASH_OUT,1,2,21,9,143635,15959.444444444445,24861.741245893816,45
PAYMENT,1,2,21,190,3366190,17716.78947368421,59607.97398770074,45
TRANSFER,1,2,21,294,5869065,19962.80612244898,123817.23678518787,45
CASH_IN,1,2,22,3,16700,5566.666666666667,5167.768699674293,46
CASH_OUT,1,2,22,7,81950,11707.142857142857,9900.5651594336,46
PAYMENT,1,2,22,190,3021775,15904.078947368422,49347.700434451224,46
TRANSFER,1,2,22,266,3672240,13805.413533834586,27798.237354498284,46
CASH_IN,1,2,23,10,21765,2176.5,2136.093331814465,47
CASH_OUT,1,2,23,4,42200,10550.0,10472.42410651262,47
PAYMENT,1,2,23,125,1543915,12351.32,21412.4433331077,47
TRANSFER,1,2,23,223,3710235,16637.825112107625,44446.99435111058,47
CASH_IN,1,3,0,2,20450,10225.0,7459.976541518076,48
CASH_OUT,1,3,0,1,1050,1050.0,0.0,48
PAYMENT,1,3,0,85,1255810,14774.235294117647,28699.283128448256,48
TRANSFER,1,3,0,180,3865845,21476.916666666668,95420.9439114303,48
CASH_IN,1,3,1,2,21550,10775.0,13753.226894078349,49
PAYMENT,1,3,1,63,916015,14539.920634920634,24092.707762563947,49
TRANSFER,1,3,1,120,836215,6968.458333333333,10377.4217948146,49
CASH_IN,1,3,2,1,1050,1050.0,0.0,50
PAYMENT,1,3,2,45,577535,12834.111111111111,21413.748989442,50
TRANSFER,1,3,2,96,1143015,11906.40625,24158.599206767423,50
CASH_IN,1,3,3,1,10500,10500.0,0.0,51
CASH_OUT,1,3,3,1,4550,4550.0,0.0,51
PAYMENT,1,3,3,34,1818325,53480.14705882353,247371.8730780224,51
TRANSFER,1,3,3,66,309145,4684.015151515152,7620.888915428788,51
CASH_IN,1,3,4,1,1050,1050.0,0.0,52
CASH_OUT,1,3,4,2,33550,16775.0,19410.08114357073,52
PAYMENT,1,3,4,25,341225,13649.0,17441.122264158734,52
TRANSFER,1,3,4,45,633155,14070.111111111111,30423.243870452246,52
CASH_OUT,1,3,5,1,5050,5050.0,0.0,53
PAYMENT,1,3,5,47,2721860,57911.914893617024,162840.52343424966,53
TRANSFER,1,3,5,107,7836875,73241.82242990655,242826.82659819775,53
CASH_OUT,1,3,6,3,7150,2383.3333333333335,1527.5252316519468,54
PAYMENT,1,3,6,33,643475,19499.242424242424,35548.94157446033,54
TRANSFER,1,3,6,59,1122720,19029.15254237288,48533.88390805404,54
CASH_IN,1,3,7,6,39550,6591.666666666667,4468.939098563178,55
CASH_OUT,1,3,7,3,23415,7805.0,9566.155183771587,55
PAYMENT,1,3,7,72,1729890,24026.25,72779.46008100844,55
TRANSFER,1,3,7,89,1486580,16703.14606741573,22484.881150023775,55
CASH_IN,1,3,8,4,58000,14500.0,4546.060565661952,56
CASH_OUT,1,3,8,5,32800,6560.0,8000.187497802786,56
PAYMENT,1,3,8,112,2527070,22563.125,78206.76374842683,56
TRANSFER,1,3,8,130,3877820,29829.384615384617,180861.05017968625,56
CASH_IN,1,3,9,9,70470,7830.0,13205.851922537977,57
CASH_OUT,1,3,9,7,55200,7885.714285714285,4955.948806376895,57
DEBIT,1,3,9,1,10500,10500.0,0.0,57
PAYMENT,1,3,9,167,19512465,116841.10778443114,574053.9130560826,57
TRANSFER,1,3,9,244,17640260,72296.14754098361,262478.04741856275,57
CASH_IN,1,3,10,2,18950,9475.0,1449.5689014324225,58
CASH_OUT,1,3,10,4,12985,3246.25,4276.921351860471,58
DEBIT,1,3,10,3,1563150,521050.0,521110.40816702176,58
PAYMENT,1,3,10,224,22236535,99270.24553571429,436668.9707763087,58
TRANSFER,1,3,10,277,15603920,56331.84115523466,348300.04082177917,58
CASH_IN,1,3,11,5,30650,6130.0,1669.431040804022,59
CASH_OUT,1,3,11,8,118950,14868.75,17382.687148424433,59
DEBIT,1,3,11,7,3351000,478714.28571428574,924056.0434457271,59
PAYMENT,1,3,11,219,25025105,114269.88584474886,426763.6235579404,59
TRANSFER,1,3,11,281,19670495,70001.76156583629,452674.1811888666,59
CASH_IN,1,3,12,4,62755,15688.75,17105.262530870437,60
CASH_OUT,1,3,12,11,69205,6291.363636363636,8533.587783256551,60
DEBIT,1,3,12,6,2044050,340675.0,366142.06771415926,60
PAYMENT,1,3,12,242,14378085,59413.574380165286,274775.55831068894,60
TRANSFER,1,3,12,301,17292825,57451.24584717608,341870.8363902845,60
CASH_IN,1,3,13,1,10500,10500.0,0.0,61
CASH_OUT,1,3,13,1,1050,1050.0,0.0,61
DEBIT,1,3,13,10,5718850,571885.0,1563398.110074121,61
PAYMENT,1,3,13,242,19483555,80510.55785123968,373743.9521605061,61
TRANSFER,1,3,13,337,12458405,36968.56083086054,276508.5378462409,61
CASH_OUT,1,3,14,6,53895,8982.5,6705.672039400674,62
DEBIT,1,3,14,9,7246050,805116.6666666666,1627588.7429722534,62
PAYMENT,1,3,14,263,45898660,174519.61977186313,804777.5988575642,62
TRANSFER,1,3,14,338,8666910,25641.745562130178,74201.64205254572,62
CASH_IN,1,3,15,4,49550,12387.5,7444.279123371629,63
CASH_OUT,1,3,15,5,29500,5900.0,7877.023549539509,63
DEBIT,1,3,15,11,10908805,991709.5454545454,1987125.087268608,63
PAYMENT,1,3,15,265,26189940,98829.96226415095,508443.62370900036,63
TRANSFER,1,3,15,303,11950935,39442.0297029703,308036.56322993914,63
CASH_IN,1,3,16,5,43150,8630.0,7302.7905625178655,64
CASH_OUT,1,3,16,4,5125,1281.25,624.9583319443518,64
PAYMENT,1,3,16,210,11936800,56841.90476190476,438274.91009097703,64
TRANSFER,1,3,16,267,10511360,39368.38951310862,147023.68947024044,64
CASH_IN,1,3,17,4,96550,24137.5,25071.742892480903,65
CASH_OUT,1,3,17,7,86905,12415.0,12335.58166443723,65
PAYMENT,1,3,17,197,5965765,30283.071065989847,153946.55590607366,65
TRANSFER,1,3,17,237,3455100,14578.481012658227,43353.37980457246,65
CASH_IN,1,3,18,5,48450,9690.0,12990.833306605085,66
CASH_OUT,1,3,18,5,61500,12300.0,21379.487832967374,66
PAYMENT,1,3,18,184,2206940,11994.239130434782,20460.655773063958,66
TRANSFER,1,3,18,278,4717515,16969.478417266186,37213.118991667194,66
CASH_IN,1,3,19,3,3150,1050.0,0.0,67
CASH_OUT,1,3,19,2,2900,1450.0,424.26406871192853,67
PAYMENT,1,3,19,172,3449295,20054.04069767442,61102.597630806624,67
TRANSFER,1,3,19,276,3432310,12435.90579710145,42542.3294474211,67
CASH_IN,1,3,20,7,58455,8350.714285714286,11845.80812938042,68
CASH_OUT,1,3,20,3,11650,3883.3333333333335,1443.3756729740644,68
PAYMENT,1,3,20,186,2643165,14210.564516129032,31585.36584385892,68
TRANSFER,1,3,20,254,4303655,16943.523622047243,56660.13557803037,68
CASH_IN,1,3,21,2,3100,1550.0,707.1067811865476,69
CASH_OUT,1,3,21,2,3985,1992.5,2061.216267158786,69
PAYMENT,1,3,21,181,1881200,10393.370165745857,19832.29046896877,69
TRANSFER,1,3,21,266,3056140,11489.248120300752,23174.21083304522,69
CASH_IN,1,3,22,5,43155,8631.0,12700.804305239884,70
CASH_OUT,1,3,22,3,7450,2483.3333333333335,1789.78583448784,70
PAYMENT,1,3,22,181,5434070,30022.486187845305,168931.88383982886,70
TRANSFER,1,3,22,244,3229970,13237.581967213115,38455.46612632922,70
CASH_IN,1,3,23,2,1555,777.5,1092.479976933216,71
PAYMENT,1,3,23,127,3579835,28187.67716535433,183470.59553646756,71
TRANSFER,1,3,23,190,3281815,17272.71052631579,48273.4887355795,71
CASH_IN,1,4,0,1,4350,4350.0,0.0,72
CASH_OUT,1,4,0,2,44050,22025.0,26127.59556484293,72
PAYMENT,1,4,0,100,1526880,15268.8,40283.719134823354,72
TRANSFER,1,4,0,137,1570115,11460.693430656935,23534.089973396305,72
CASH_IN,1,4,1,7,23020,3288.5714285714284,4235.5585171711355,73
CASH_OUT,1,4,1,1,15500,15500.0,0.0,73
PAYMENT,1,4,1,51,583080,11432.941176470587,20677.558056416394,73
TRANSFER,1,4,1,109,1117860,10255.59633027523,20387.037795073717,73
CASH_IN,1,4,2,6,69925,11654.166666666666,12116.377518328929,74
CASH_OUT,1,4,2,2,5555,2777.5,3213.8003204928586,74
PAYMENT,1,4,2,37,506585,13691.486486486487,15404.300078985201,74
TRANSFER,1,4,2,78,722515,9263.01282051282,18970.584925837284,74
CASH_IN,1,4,3,1,1050,1050.0,0.0,75
PAYMENT,1,4,3,40,2091830,52295.75,125586.0125191047,75
TRANSFER,1,4,3,43,982280,22843.720930232557,84770.89352015808,75
CASH_IN,1,4,4,3,5150,1716.6666666666667,577.3502691896257,76
PAYMENT,1,4,4,20,398005,19900.25,28570.993824018537,76
TRANSFER,1,4,4,49,1038865,21201.326530612245,38739.29804872339,76
CASH_OUT,1,4,5,1,2050000,2050000.0,0.0,77
PAYMENT,1,4,5,24,7113960,296415.0,951961.285786852,77
TRANSFER,1,4,5,128,7968545,62254.2578125,247881.16465711477,77
CASH_IN,1,4,6,1,1050,1050.0,0.0,78
CASH_OUT,1,4,6,1,7050,7050.0,0.0,78
PAYMENT,1,4,6,22,725915,32996.13636363636,90417.3936981762,78
TRANSFER,1,4,6,57,860410,15094.912280701754,30901.64325397177,78
CASH_IN,1,4,7,2,13550,6775.0,6682.159082212874,79
CASH_OUT,1,4,7,1,8650,8650.0,0.0,79
PAYMENT,1,4,7,65,4045915,62244.846153846156,174194.927059479,79
TRANSFER,1,4,7,67,1281795,19131.268656716416,43625.79279772186,79
CASH_IN,1,4,8,6,32980,5496.666666666667,7816.110072578729,80
CASH_OUT,1,4,8,5,22050,4410.0,2132.604042010612,80
PAYMENT,1,4,8,93,2826275,30390.05376344086,124231.75678443526,80
TRANSFER,1,4,8,141,2894150,20525.886524822694,56610.231301050706,80
CASH_IN,1,4,9,6,29395,4899.166666666667,7846.299393132196,81
CASH_OUT,1,4,9,1,13500,13500.0,0.0,81
DEBIT,1,4,9,1,90500,90500.0,0.0,81
PAYMENT,1,4,9,158,16886605,106877.24683544303,390741.4344202388,81
TRANSFER,1,4,9,198,8377015,42308.156565656565,176902.32744969043,81
CASH_IN,1,4,10,3,71050,23683.333333333332,29664.807994209794,82
CASH_OUT,1,4,10,4,60655,15163.75,16054.65943529583,82
DEBIT,1,4,10,4,437500,109375.0,107371.91982388443,82
PAYMENT,1,4,10,197,20674735,104947.89340101523,481685.2094027818,82
TRANSFER,1,4,10,229,19981280,87254.49781659388,417765.40535611165,82
CASH_IN,1,4,11,6,35705,5950.833333333333,5445.007269661508,83
CASH_OUT,1,4,11,4,10815,2703.75,2176.286496917781,83
DEBIT,1,4,11,7,12733850,1819121.4285714286,2201001.057067962,83
PAYMENT,1,4,11,233,37269200,159953.6480686695,696878.3212145973,83
TRANSFER,1,4,11,277,16088965,58082.906137184116,348788.9924655953,83
CASH_IN,1,4,12,15,59915,3994.3333333333335,3449.7369810023542,84
CASH_OUT,1,4,12,6,72205,12034.166666666666,23332.788178155366,84
DEBIT,1,4,12,3,3592000,1197333.3333333333,2037491.2474249636,84
PAYMENT,1,4,12,213,11296765,53036.45539906103,242822.56341326432,84
TRANSFER,1,4,12,299,4811530,16092.073578595318,43165.875178363174,84
CASH_IN,1,4,13,4,18000,4500.0,3536.9478367654788,85
CASH_OUT,1,4,13,2,8700,4350.0,989.9494936611666,85
DEBIT,1,4,13,3,282000,94000.0,139444.43337760027,85
PAYMENT,1,4,13,276,43082250,156095.10869565216,629027.7263451086,85
TRANSFER,1,4,13,323,9518920,29470.34055727554,136794.58792964063,85
CASH_IN,1,4,14,5,58150,11630.0,9560.635439132693,86
CASH_OUT,1,4,14,3,44250,14750.0,12193.7483982572,86
DEBIT,1,4,14,7,4383500,626214.2857142857,1126099.5684641914,86
PAYMENT,1,4,14,235,40590810,172726.8510638298,718237.2344405685,86
TRANSFER,1,4,14,326,14905560,45722.57668711656,165380.5072751048,86
CASH_IN,1,4,15,3,10150,3383.3333333333335,2516.6114784235833,87
CASH_OUT,1,4,15,10,117375,11737.5,11897.859576411212,87
DEBIT,1,4,15,6,1783505,297250.8333333333,570319.762593027,87
PAYMENT,1,4,15,236,24611110,104284.36440677966,511793.93245160225,87
TRANSFER,1,4,15,293,6439015,21976.160409556313,63535.914010870896,87
CASH_IN,1,4,16,8,33350,4168.75,4725.911665639612,88
CASH_OUT,1,4,16,2,32550,16275.0,20117.187924757276,88
PAYMENT,1,4,16,209,9947845,47597.34449760766,335273.9409107901,88
TRANSFER,1,4,16,263,5764545,21918.422053231938,62098.66281458367,88
CASH_IN,1,4,17,6,15270,2545.0,3953.772881691613,89
CASH_OUT,1,4,17,5,47025,9405.0,7486.788363510752,89
PAYMENT,1,4,17,204,2976735,14591.838235294117,32268.18904608073,89
TRANSFER,1,4,17,288,9765950,33909.54861111111,139278.96704373974,89
CASH_IN,1,4,18,10,73850,7385.0,10320.34264073738,90
CASH_OUT,1,4,18,2,11005,5502.5,7067.532277959543,90
PAYMENT,1,4,18,181,6814370,37648.45303867403,227149.02066664476,90
TRANSFER,1,4,18,282,8195450,29061.879432624115,242853.35525525018,90
CASH_IN,1,4,19,7,48905,6986.428571428572,11202.118368968477,91
CASH_OUT,1,4,19,10,173650,17365.0,13866.928082471779,91
PAYMENT,1,4,19,179,2811600,15707.262569832403,42813.5851922604,91
TRANSFER,1,4,19,272,6987700,25690.073529411766,144320.91174137496,91
CASH_IN,1,4,20,2,14550,7275.0,8803.479425772517,92
CASH_OUT,1,4,20,3,56350,18783.333333333332,15392.882554392902,92
PAYMENT,1,4,20,158,2147255,13590.221518987342,40082.168904920676,92
TRANSFER,1,4,20,261,3687005,14126.455938697318,69050.61201190212,92
CASH_IN,1,4,21,11,108200,9836.363636363636,11251.090856203475,93
CASH_OUT,1,4,21,3,25800,8600.0,6186.073067787027,93
PAYMENT,1,4,21,186,3921550,21083.602150537634,108681.34092410933,93
TRANSFER,1,4,21,238,3757455,15787.626050420167,37462.90589469485,93
CASH_IN,1,4,22,5,11205,2241.0,2179.4276771666455,94
CASH_OUT,1,4,22,1,4550,4550.0,0.0,94
PAYMENT,1,4,22,171,3058770,17887.543859649122,59916.65621405341,94
TRANSFER,1,4,22,253,3764330,14878.774703557312,40633.16368866487,94
CASH_IN,1,4,23,4,9055,2263.75,2595.461985209313,95
CASH_OUT,1,4,23,5,90055,18011.0,11521.961855517487,95
PAYMENT,1,4,23,125,2024675,16197.4,57707.89083615917,95
TRANSFER,1,4,23,198,4221875,21322.60101010101,83516.09185606723,95
CASH_IN,1,5,0,5,32805,6561.0,5441.654619690596,96
CASH_OUT,1,5,0,1,3050,3050.0,0.0,96
PAYMENT,1,5,0,83,1422135,17134.156626506025,33416.66370696567,96
TRANSFER,1,5,0,183,3148895,17207.07650273224,79515.76758631128,96
CASH_IN,1,5,1,3,11250,3750.0,2251.6660498395404,97
CASH_OUT,1,5,1,1,1050,1050.0,0.0,97
